  name         |   x   |   y   | attributes
#--------------+-------+-------+----------------------------------- 
  chars        |   1   |   1   | "_-+?!@#$%^&*()=[]{};'"\€, "
  chars        |   1   |   2   | ".<>~`0123456789ABCDEFGHIJK"
  chars        |   1   |   3   | "LMNOPQRSTUVWXYZabcdefghijk"
  chars        |   1   |   4   | "lmnopqrstuvwxyz:/"
  topleft      |  18   |   4   | top, left, box
  topright     |  19   |   4   | top, right, box
  bottomleft   |  20   |   4   | bottom, left, box
  bottomright  |  21   |   4   | bottom, right, box
  top          |  22   |   4   | top, box
  bottom       |  23   |   4   | bottom, box
  left         |  24   |   4   | left, box
  right        |  25   |   4   | right, box
  block        |  26   |   4   | block
